3000,3000000
4000,1000000
5000,2000000
9000,1000000
11000,4000000
13000,1000000
200,1000000
6000,1000000
7000,1000000
12000,1000000
15000,1000000
16000,2000000
18000,1000000
19000,1000000
20000,1000000
500,1000000
2000,3000000
5000,1000000
6000,8000000
7000,1000000
11000,6000000
14000,1000000
15000,1000000
18000,1000000
10,1000000
500,1000000
800,1000000
8000,2000000
11000,1000000
14000,1000000
19000,4000000
20000,1000000
2000,3000000
7000,4000000
9000,1000000
11000,10000000
16000,1000000
19000,1000000
10,1000000
300,1000000
4000,1000000
9000,1000000
14000,3000000
15000,1000000
17000,1000000
20000,6000000
2000,3000000
3000,1000000
6000,6000000
11000,9000000
15000,1000000
16000,1000000
17000,1000000
10,1000000
200,1000000
500,1000000
800,1000000
8000,1000000
11000,1000000
13000,1000000
10,1000000
200,1000000
2000,3000000
6000,1000000
8000,1000000
11000,8000000
12000,1000000
20000,1000000
500,1000000
8000,1000000
13000,2000000
19000,1000000
20000,1000000
10,1000000
300,1000000
2000,3000000
5000,1000000
6000,2000000
7000,3000000
11000,7000000
12000,3000000
15000,1000000
200,1000000
6000,1000000
8000,2000000
10000,1000000
11000,1000000
13000,1000000
17000,5000000
20000,4000000
500,1000000
800,2000000
3000,7000000
8000,1000000
9000,1000000
10000,1000000
11000,7000000
13000,1000000
14000,1000000
15000,3000000
20000,1000000
10,1000000
500,3000000
3000,1000000
8000,2000000
11000,1000000
15000,1000000
19000,1000000
